,barcode,category,categoryCode,name,topBrand,brand_id,cpg_oid,cpg_ref,brandCode
964,511111002086,Beverages,,Kool-Aid,False,57ebc02be4b0ac389136a339,559c2234e4b06aca36af13c6,Cogs,KOOL-AID
965,511111203995,,,Minute Maid,,5332f5f5e4b03c9a25efd0b1,5332f5ebe4b03c9a25efd0a8,Cpgs,
966,511111416890,Baking,BAKING,test brand @1601939013241,,5f7ba645be37ce23081c528b,5f7ba644be37ce23081c5289,Cogs,TEST BRANDCODE @1601939013241
967,511111401438,Grocery,,Velveeta Shells,False,58861c7d4e8d0d20bc42c4d7,559c2234e4b06aca36af13c6,Cogs,
968,511111803447,,,Margaritaville,,5332f7b5e4b03c9a25efd141,5332f7a7e4b03c9a25efd134,Cpgs,
969,511111615705,Baking,BAKING,test brand @1598042674677,,5f403232be37ce5f78d9ed1b,5f403232be37ce5f78d9ed1a,Cogs,
970,511111317715,Beer Wine Spirits,BEER_WINE_SPIRITS,Absolut® Citron,False,5fb81ab9be37ce522e165cdc,5fb6d381be37ce522e165cbd,Cogs,ABSOLUT® CITRON
971,511111717522,Beer Wine Spirits,BEER_WINE_SPIRITS,Avion® R44,False,5fb7fa35be37ce522e165cc9,5fb6d381be37ce522e165cbd,Cogs,AVION R44
972,511111102984,,,Caffeine-free Coca-Cola,,5332fa79e4b03c9a25efd227,5332f5ebe4b03c9a25efd0a8,Cpgs,
973,511111418146,Baking,BAKING,test brand @1607639231710,False,5fd2a0bfbe37ce49eb72c0f2,5fd2a0bfbe37ce49eb72c0ef,Cogs,TEST BRANDCODE @1607639231710
974,511111902812,,,Screamin Sicilian,,53501d2ab9237fd7718f9e1b,53501d2ab9237fd7718f9e1a,Cpgs,
975,511111900269,Beer Wine Spirits,,Miller Fortune,,5a5d239de4b0db471c2d042a,5332f709e4b03c9a25efd0f1,Cogs,MILLER FORTUNE
976,511111900771,Personal Care,,LEVER 2000,False,592486bee410d61fcea3d131,5332f5f6e4b03c9a25efd0b4,Cogs,LEVER 2000
977,511111105558,Baby,BABY,A+D®,False,5da603a71dda2c3e1416ae82,5d9b4f591dda2c6225a284aa,Cogs,A+D
978,511111312949,Baby,,Pull-Ups,True,5db3288aee7f2d6de4248977,550b2565e4b001d5e9e4146f,Cogs,PULLUPS
979,511111216582,Baking,BAKING,test brand @1599849713170,,5f5bc4f1be37ce17125ac0e7,5f5bc4f1be37ce17125ac0e6,Cogs,
980,511111817864,Baking,BAKING,test brand @1606765578434,False,5fc54c0abe37ce1911dbb3b2,5fc54c0abe37ce1911dbb3b1,Cogs,TEST BRANDCODE @1606765578435
981,511111003960,Beverages,,Mountain Dew,False,5332f5fbe4b03c9a25efd0bb,5332f5fbe4b03c9a25efd0ba,Cogs,MOUNTAIN DEW
982,511111102052,Condiments & Sauces,,Kraft Mayo,False,57ebc12ce4b0ac389136a33c,559c2234e4b06aca36af13c6,Cogs,
983,511111101505,Snacks,,Sun Chips,,585a9720e4b03e62d1ce0e94,5332f5fbe4b03c9a25efd0ba,Cogs,SUN CHIPS
984,511111716365,Candy & Sweets,CANDY_AND_SWEETS,test brand @1598813527796,,5f4bf557be37ce0b4491554e,5332fa12e4b03c9a25efd1e7,Cogs,TEST BRANDCODE @1598813527796
985,511111800712,Beverages,,PURE LEAF Tea Leaves,False,592486bfe410d61fcea3d138,5332f5f6e4b03c9a25efd0b4,Cogs,PURE LEAF Tea Leaves
986,511111201120,Snacks,,Corn Nuts,False,5887a320e4b02187f85cdad8,559c2234e4b06aca36af13c6,Cogs,CORN NUTS
987,511111702382,Dairy,,Breakstone's,False,57d95753e4b0ac389136a2b3,559c2234e4b06aca36af13c6,Cogs,BREAKSTONE'S
988,511111200192,Beer Wine Spirits,,Sparks,False,5a5d263ee4b06ba572cf24a4,5332f709e4b03c9a25efd0f1,Cogs,SPARKS
989,511111316275,Baking,BAKING,test brand @1598716509357,,5f4a7a5dbe37ce2d95e65ca2,5f4a7a5bbe37ce2d95e65c9f,Cogs,TEST BRANDCODE @1598716509358
990,511111301189,Beverages,,Maxwell House,False,5887a143e4b02187f85cdad2,559c2234e4b06aca36af13c6,Cogs,MAXWELL HOUSE
991,511111603436,,,Beck's,,5332f7b5e4b03c9a25efd142,5332f7a7e4b03c9a25efd134,Cpgs,
992,511111516637,Candy & Sweets,CANDY_AND_SWEETS,test brand @1599849714378,,5f5bc4f2be37ce17125ac0ed,5332fa12e4b03c9a25efd1e7,Cogs,TEST BRANDCODE @1599849714378
993,511111716204,Baking,BAKING,test brand @1598711015496,,5f4a64e7be37ce17d23b317a,5f4a64e7be37ce17d23b3178,Cogs,TEST BRANDCODE @1598711015496
994,511111800088,Canned Goods & Soups,,Continental,,5a5d2b20e4b0db471c2d0434,5332f5f6e4b03c9a25efd0b4,Cogs,CONTINENTAL SOUP
995,511111213925,Beauty,,Garnier - Hair Color,,5e3875f5ee7f2d697e835bcf,5e28b81cee7f2d697e835bcd,Cogs,GARNIER - HAIR COLOR
